id;start_date;end_date;language
1;2020-11-24T22:02:39;2020-11-24T19:52:54;SPANISH
2;2020-11-24T02:52:50;2020-11-24T21:57:15;SPANISH
3;2020-11-24T17:48:09;2020-11-24T04:22:18;FRENCH
4;2020-11-24T09:05:40;2020-11-24T20:37:06;FRENCH
5;2020-11-24T18:35:58;2020-11-24T23:22:57;FRENCH
6;2020-11-24T12:28:19;2020-11-25T00:36:33;FRENCH
7;2020-11-24T14:13:39;2020-11-24T08:04:30;FRENCH
8;2020-11-24T13:09:52;2020-11-24T23:26:00;SPANISH
9;2020-11-24T11:51:01;2020-11-24T08:32:24;SPANISH
10;2020-11-24T20:03:05;2020-11-24T06:37:35;SPANISH
